,,,,,,State-Wide,,Prelim Grant,Hold Harm-,FY11
,FY09,FY09,FY09,FY10/11,FY10/11,Education,Calculated,= Calculated,less Grant if,Transition
,Grant,SWEPT,Cost of,Calculated,Fiscal,Property,Grant =,Grant,Prelim Grant,Grant = Prelim
,,,Adequacy,Cost of,Disparity,Tax @,Cost plus,Capped @,plus SWEPT,Grant plus
See footnote on last page.,,,(Grant +,Adequacy,Aid,2.19,Fiscal Disparity,FY09 Grant X,Less than,Hold Harmless
,,,SWEPT),,,(1), Less SWEPT,115%,FY09 Cost,Grant
Sanbornton,"552,513","944,956","1,497,469","1,783,102",0,"1,020,462","762,640","635,390",0,"635,390 "
Sandown,"4,798,695","1,265,883","6,064,578","4,666,045",0,"1,325,017","3,341,028","3,341,028","1,398,533","4,739,561 "
Sandwich,0,"927,620","927,620","600,525",0,"1,003,151",0,0,0,0 
Seabrook,"1,134,709","3,065,290","4,199,999","6,272,917",0,"3,381,425","2,891,492","1,304,915",0,"1,304,915 "
Sharon,"51,489","116,607","168,096","179,885",0,"141,938","37,947","37,947",0,"37,947 "
Shelburne,"104,572","119,997","224,569","230,761",0,"122,616","108,145","108,145",0,"108,145 "
Somersworth,"6,338,043","2,103,734","8,441,777","8,633,000","1,978,438","2,074,259","8,537,179","7,288,749",0,"7,288,749 "
South Hampton,"99,092","338,126","437,218","494,922",0,"350,961","143,961","113,956",0,"113,956 "
Springfield,"391,110","410,953","802,063","878,650",0,"437,760","440,890","440,890",0,"440,890 "
Stark,"352,209","109,813","462,022","424,522",0,"114,373","310,149","310,149","37,500","347,649 "
Stewartstown,"556,924","172,547","729,471","763,280",0,"213,159","550,121","550,121",0,"550,121 "
Stoddard,0,"587,710","587,710","526,361",0,"622,956",0,0,0,0 
Strafford,"2,271,177","1,083,422","3,354,599","2,783,390",0,"1,075,414","1,707,976","1,707,976","571,209","2,279,185 "
Stratford,"818,082","108,052","926,134","755,081","137,175","120,680","771,576","771,576","33,878","805,454 "
Stratham,"1,278,251","2,560,649","3,838,900","4,986,097",0,"2,649,774","2,336,323","1,469,989",0,"1,469,989 "
Success,0,"18,286","18,286",0,0,"24,910",0,0,0,0 
Sugar Hill,0,"283,376","283,376","283,650",0,"357,334",0,0,0,0 
Sullivan,"524,317","118,185","642,502","520,148","219,800","129,083","610,865","602,965",0,"602,965 "
Sunapee,0,"2,541,205","2,541,205","2,211,155",0,"2,522,764",0,0,"18,441","18,441 "
Surry,"109,551","200,841","310,392","291,818",0,"183,495","108,323","108,323","18,574","126,897 "
Sutton,"330,269","633,814","964,083","1,011,723",0,"644,139","367,584","367,584",0,"367,584 "
Swanzey,"5,042,905","1,280,403","6,323,308","5,404,468","1,345,138","1,287,792","5,461,814","5,461,814",0,"5,461,814 "
Tamworth,"542,993","837,409","1,380,402","1,770,254",0,"735,703","1,034,551","624,442","20,257","644,699 "
Temple,"608,284","358,564","966,848","976,057",0,"386,286","589,771","589,771",0,"589,771 "
Thornton,"437,257","810,315","1,247,572","1,443,104",0,"861,334","581,770","502,846",0,"502,846 "
Tilton,"940,967","1,264,574","2,205,541","2,087,060",0,"1,160,500","926,560","926,560","118,481","1,045,041 "
Troy,"2,074,475","273,680","2,348,155","1,831,320","657,280","294,264","2,194,336","2,194,336",0,"2,194,336 "
Tuftonboro,0,"2,483,447","2,483,447","1,587,600",0,"2,281,999",0,0,"201,448","201,448 "
Unity,"853,672","298,761","1,152,433","895,619",0,"311,529","584,090","584,090","256,814","840,904 "
Wakefield,"1,259,290","2,206,140","3,465,430","3,986,034",0,"2,187,894","1,798,140","1,448,184",0,"1,448,184 "
