 ,,,,,, ,, , ,,,,,,,,"Oct. 6, 2003",
,,,,,,,,,,,,,,, Includes home school.  Replaces 7/7/03.,,,
 ,NH Department of Education,,,,,,,,,,,,,,,,,
,"Division of Program Support, Bureau of Informaton Services",,,,,,,,,,,,,,,,,
,"101 Pleasant St., Concord NH 03301",,,,,,,,,,,,,,,,,
,603-271-2778,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,FY04 Adequacy Aid and Targeted Aid,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,00-01,00-01,00-01,,,Poverty Wt. =,Poverty  ,,Total Wt.  ,FY01,If Tuition,FY04,Reduced to Amt. Spent,FY04,FY04,Statewide,FY04,
FY04 Adequacy,Adj. ELEM,High,Partic-,,Elem,(Loc F/R% less,Wt.  X,Total, ADM-R,Reg. Elem,All,Cost of an,, Targeted ,Cost of an,Education,Adequate ,
Base Cost,ADM-R,,ipating,00-01,F/R,85% of St Ave),Elem ADM,Weighted,times Base,To/From Sch,FY01,Adequate,,Aid,Adequate,Propert Tax,Education ,
"$3,390 ",,Weight of,Home,Spec Ed,Rate,X 5 times Loc%,Max = Elem,ADM-R,Cost of ,Transport,Spent,Education ,,, Education  ,at $4.92,Grant &,
 ,,1.2,School,ADM-R,Oct. '00,Max = Loc %,F/R ADM,w/o home,"$3,390 ",at 100%," 198:41,II", ,,,& Targeted Aid," Per $1,000  ", Targeted Aid ,
Fitzwilliam,224.4,130.2,0.0,28.4,25.80%,13.36%,30.0,413.0,"1,400,070","87,347",,"1,487,417",,0,"1,487,417","669,401","818,016",
Francestown,183.5,95.8,0.0,29.3,17.64%,1.94%,3.6,312.2,"1,058,358","81,724",,"1,140,082",,0,"1,140,082","564,711","575,371",
Franconia,93.9,60.7,0.0,27.7,16.58%,0.95%,0.9,183.2,"621,048","45,757",,"666,805",,0,"666,805","701,342",0,
Franklin,876.9,481.0,0.0,166.5,45.57%,45.57%,399.6,"1,924.0","6,522,360","155,366",,"6,677,726",,"207,546","6,885,272","1,545,851","5,339,421",
Freedom,93.3,52.6,0.2,13.8,14.61%,0.00%,0.0,159.9,"542,061","61,293",,"603,354",,0,"603,354","1,237,086",0,
Fremont,457.5,198.5,0.0,105.4,4.81%,0.00%,0.0,761.4,"2,581,146","100,546",,"2,681,692",,"39,603","2,721,295","1,177,487","1,543,808",
Gilford,828.4,432.4,0.0,140.0,11.14%,0.00%,0.0,"1,400.8","4,748,712","154,370",,"4,903,082",,0,"4,903,082","4,549,602","353,480",
Gilmanton,337.4,204.1,0.1,62.2,18.87%,3.24%,10.9,614.7,"2,083,833","197,427",,"2,281,260",,0,"2,281,260","1,088,062","1,193,198",
Gilsum,76.3,37.7,0.0,6.1,25.80%,13.36%,10.2,130.3,"441,717","28,378",,"470,095",,"8,603","478,698","155,890","322,808",
Goffstown,"1,647.9",845.0,0.7,249.6,6.37%,0.00%,0.0,"2,743.2","9,299,448","516,286",,"9,815,734",,"8,772","9,824,506","4,632,283","5,192,223",
Gorham,315.7,197.2,0.1,47.4,21.51%,6.53%,20.6,581.0,"1,969,590","78,937",,"2,048,527",,"41,460","2,089,987","678,829","1,411,158",
Goshen,80.4,58.6,0.0,14.0,26.93%,15.47%,12.4,165.4,"560,706","32,497",,"593,203",,"12,831","606,034","185,417","420,617",
Grafton,127.8,76.7,0.0,23.6,21.80%,6.93%,8.9,237.0,"803,430","27,507",,"830,937",,"19,237","850,174","264,250","585,924",
Grantham,199.4,104.6,0.0,28.9,7.87%,0.00%,0.0,332.9,"1,128,531","53,868",,"1,182,399",,0,"1,182,399","1,442,942",0,
Greenfield,181.7,95.6,0.0,35.0,17.64%,1.94%,3.5,315.8,"1,070,562","68,411",,"1,138,973",,"18,796","1,157,769","467,267","690,502",
Greenland,355.9,155.9,0.0,46.7,4.99%,0.00%,0.0,558.5,"1,893,315","105,365",,"1,998,680",,0,"1,998,680","1,948,946","49,734",
Greenville,290.0,120.5,0.0,61.6,20.47%,5.15%,14.9,487.0,"1,650,930","61,901",,"1,712,831",,"84,816","1,797,647","346,014","1,451,633",
Groton,56.6,34.2,0.0,15.2,26.98%,15.57%,8.8,114.8,"389,172","27,556",,"416,728",,0,"416,728","143,454","273,274",
Hales Location,0.0,0.0,0.0,0.0,39.60%,39.60%,0.0,0.0,0,0,,0,,0,0,"178,219",0,
Hampstead,"1,153.2",611.2,0.0,246.5,1.82%,0.00%,0.0,"2,010.9","6,816,951","114,618",,"6,931,569",,"82,301","7,013,870","3,627,626","3,386,244",
Hampton,"1,373.7",680.0,0.0,239.2,24.68%,11.40%,156.6,"2,449.5","8,303,805","250,170",,"8,553,975",,0,"8,553,975","9,782,164",0,
Hampton Falls,254.4,96.1,0.0,43.6,2.47%,0.00%,0.0,394.1,"1,335,999","45,424",,"1,381,423",,0,"1,381,423","1,329,202","52,221",
Hancock,177.0,110.2,0.0,34.8,17.64%,1.94%,3.4,325.4,"1,103,106","92,035",,"1,195,141",,0,"1,195,141","784,146","410,995",
Hanover,753.7,447.4,0.0,79.2,1.13%,0.00%,0.0,"1,280.3","4,340,217","247,289",,"4,587,506",,0,"4,587,506","5,690,608",0,
Harrisville,87.2,43.6,0.0,25.0,5.97%,0.00%,0.0,155.8,"528,162","26,539",,"554,701",,0,"554,701","492,079","62,622",
Hart's Location,2.5,3.6,0.0,1.0,30.70%,23.42%,0.6,7.7,"26,103","2,250","49,068","28,353",,0,"28,353","50,422",0,
Haverhill,460.5,260.2,0.1,127.0,37.99%,37.99%,174.9,"1,022.7","3,466,953","122,504",,"3,589,457",,"87,238","3,676,695","888,281","2,788,414",
Hebron,27.5,25.4,0.0,5.8,26.98%,15.57%,4.3,63.0,"213,570","14,787",,"228,357",,0,"228,357","698,679",0,
Henniker,583.4,290.5,0.0,116.3,10.19%,0.00%,0.0,990.2,"3,356,778","168,597",,"3,525,375",,"88,040","3,613,415","1,208,816","2,404,599",
Hill,125.3,54.5,0.0,17.9,23.59%,9.61%,12.0,209.7,"710,883","20,720",,"731,603",,"1,548","733,151","252,870","480,281",
Hillsboro,610.4,338.5,0.1,163.9,33.43%,30.07%,183.5,"1,296.4","4,394,796","139,529",,"4,534,325",,"63,567","4,597,892","1,333,308","3,264,584",
Hinsdale,530.5,267.2,0.0,87.1,31.53%,25.37%,134.6,"1,019.4","3,455,766","102,275",,"3,558,041",,"150,939","3,708,980","721,615","2,987,365",
Holderness,207.2,131.9,0.0,57.2,12.12%,0.00%,0.0,396.3,"1,343,457","88,351",,"1,431,808",,0,"1,431,808","1,651,883",0,
Hollis,"1,053.2",461.6,0.2,156.9,1.77%,0.00%,0.0,"1,671.9","5,667,741","297,787",,"5,965,528",,0,"5,965,528","4,358,243","1,607,285",
Hooksett,"1,332.2",599.8,0.0,199.6,8.76%,0.00%,0.0,"2,131.6","7,226,124","271,774",,"7,497,898",,0,"7,497,898","4,682,231","2,815,667",
Hopkinton,677.9,339.0,0.8,129.8,7.10%,0.00%,0.0,"1,147.5","3,890,025","140,141",,"4,030,166",,0,"4,030,166","2,124,235","1,905,931",
Hudson,"2,728.0","1,402.2",0.0,483.9,6.63%,0.00%,0.0,"4,614.1","15,641,799","486,789",,"16,128,588",,0,"16,128,588","9,209,140","6,919,448",
Jackson,67.7,25.0,0.0,8.1,0.00%,0.00%,0.0,100.8,"341,712","83,948",,"425,660",,0,"425,660","1,072,916",0,
Jaffrey,585.8,318.6,0.3,159.2,18.06%,2.37%,13.9,"1,077.8","3,653,742","171,708",,"3,825,450",,"45,214","3,870,664","1,518,161","2,352,503",
Jefferson,97.8,70.8,0.0,30.7,29.54%,20.83%,20.4,219.7,"744,783","43,781",,"788,564",,0,"788,564","322,227","466,337",
Keene,"2,052.1","1,202.6",0.0,532.7,25.72%,13.22%,271.3,"4,058.7","13,758,993","343,804",,"14,102,797",,"323,881","14,426,678","5,586,048","8,840,630",
Kensington,233.1,128.8,0.0,52.2,6.33%,0.00%,0.0,414.1,"1,403,799","57,366",,"1,461,165",,0,"1,461,165","981,553","479,612",
Kingston,673.5,393.5,0.4,140.7,5.69%,0.00%,0.0,"1,208.1","4,095,459","165,603",,"4,261,062",,0,"4,261,062","2,285,326","1,975,736",
Laconia,"1,621.7",869.6,0.0,414.8,35.04%,34.34%,556.9,"3,463.0","11,739,570","171,595",,"11,911,165",,0,"11,911,165","5,432,189","6,478,976",
Lancaster,401.9,226.0,0.6,122.6,29.54%,20.83%,83.7,834.8,"2,829,972","121,559",,"2,951,531",,"61,510","3,013,041","675,219","2,337,822",
