,,,,,,,,,,"November 18, 2008"
New Hampshire Department of Education,,,,,,,,,,
Commissioner's Office,,,,,,,,,,
Estimated FY10  Transition Adequate Education Aid,,,,,,,,,,
"Municipal Summary of Adequacy Aid, Fiscal Disparity Aid and Transition Grant",,,,,,,,,,
,,,,,,,,,,
,,,,,,State-Wide,Calculated,Prelim Grant,Hold Harm-,FY10
,FY09,FY09,FY09,FY10/11,FY10/11,Education,Grant =,= Calculated,less Grant if,Transition
,Grant,SWEPT,Cost of,Calculated,Fiscal,Property,FY10/11 Calcu-,Grant,Prelim Grant,Grant = Prelim
,,,Adequacy,Cost of,Disparity,Tax @,lated Cost plus,Capped @,plus SWEPT,Grant plus
See footnote on last page.,,,(Grant +,Adequacy,Aid,2.135,Fiscal Disparity,FY09 Grant X,Less than,Hold Harmless
,,,SWEPT),,,(1), Less SWEPT,115%,FY09 Cost,Grant
Richmond,"859,190","218,112","1,077,302","935,059","380,840","228,695","1,087,204","988,069",0,"988,069 "
Rindge,"1,356,512","1,401,194","2,757,706","3,654,112",0,"1,305,472","2,348,640","1,559,989",0,"1,559,989 "
Rochester,"19,528,790","5,221,900","24,750,690","25,076,450","5,311,063","5,118,107","25,269,406","22,458,109",0,"22,458,109 "
Rollinsford,"468,747","595,041","1,063,788","1,473,216",0,"600,285","872,931","539,059",0,"539,059 "
Roxbury,"50,947","59,652","110,599","101,852",0,"68,738","33,114","33,114","8,747","41,861 "
Rumney,"790,885","423,329","1,214,214","1,575,765",0,"439,472","1,136,293","909,518",0,"909,518 "
Rye,0,"4,097,284","4,097,284","2,708,187",0,"4,263,304",0,0,0,0 
Salem,"4,623,759","9,920,903","14,544,662","17,914,075",0,"9,760,335","8,153,740","5,317,323",0,"5,317,323 "
Salisbury,"574,311","334,654","908,965","884,726",0,"324,486","560,240","560,240","24,239","584,479 "
Sanbornton,"552,513","944,956","1,497,469","1,783,102",0,"951,768","831,334","635,390",0,"635,390 "
Sandown,"4,798,695","1,265,883","6,064,578","4,666,045",0,"1,284,343","3,381,702","3,381,702","1,398,533","4,780,235 "
Sandwich,0,"927,620","927,620","600,525",0,"906,187",0,0,"21,433","21,433 "
Seabrook,"1,134,709","3,065,290","4,199,999","6,272,917",0,"3,201,758","3,071,159","1,304,915",0,"1,304,915 "
Sharon,"51,489","116,607","168,096","179,885",0,"134,370","45,515","45,515",0,"45,515 "
Shelburne,"104,572","119,997","224,569","230,761",0,"118,909","111,852","111,852",0,"111,852 "
Somersworth,"6,338,043","2,103,734","8,441,777","8,633,000","1,978,438","2,069,705","8,541,733","7,288,749",0,"7,288,749 "
South Hampton,"99,092","338,126","437,218","494,922",0,"310,575","184,347","113,956","12,687","126,643 "
Springfield,"391,110","410,953","802,063","878,650",0,"450,800","427,850","427,850",0,"427,850 "
Stark,"352,209","109,813","462,022","424,522",0,"121,334","303,188","303,188","37,500","340,688 "
Stewartstown,"556,924","172,547","729,471","763,280",0,"182,330","580,950","580,950",0,"580,950 "
